,LocationID,zone,lon,lat
159,160,Middle Village,-73.88071224786468,40.718503819755995
160,161,Midtown Center,-73.97743183810948,40.75822648122194
161,162,Midtown East,-73.97214548508123,40.756816155312855
162,163,Midtown North,-73.97836698801483,40.76442545340291
163,164,Midtown South,-73.98592880648783,40.748807666813406
164,165,Midwood,-73.9546029482622,40.62095870008792
165,166,Morningside Heights,-73.96181526438258,40.809570228272506
166,167,Morrisania/Melrose,-73.90444259410347,40.82798803567739
167,168,Mott Haven/Port Morris,-73.91705803171561,40.807439530866155
168,169,Mount Hope,-73.90502146000487,40.84911482191479
169,170,Murray Hill,-73.97694199243666,40.747654281102605
170,171,Murray Hill-Queens,-73.80888071716296,40.768943668783706
171,172,New Dorp/Midland Beach,-74.1039265024832,40.572465420142315
172,173,North Corona,-73.86308370078245,40.7517792439234
173,174,Norwood,-73.87776056184659,40.876852592168376
174,175,Oakland Gardens,-73.75735677160738,40.74327384933848
175,176,Oakwood,-74.11961243241754,40.5620606070116
176,177,Ocean Hill,-73.91110579130644,40.677098612914165
177,178,Ocean Parkway South,-73.97068877904167,40.61763318143355
178,179,Old Astoria,-73.92681235822364,40.77142534181404
179,180,Ozone Park,-73.8493643543426,40.6751638515952
180,181,Park Slope,-73.97904489684593,40.67201914054476
181,182,Parkchester,-73.85794162069101,40.83740435869921
182,183,Pelham Bay,-73.83185405296466,40.849568646842485
183,184,Pelham Bay Park,-73.80461083821233,40.86478541717726
184,185,Pelham Parkway,-73.85518043318032,40.853471658680135
185,186,Penn Station/Madison Sq West,-73.99245532771059,40.748476361762066
186,187,Port Richmond,-74.14115248206298,40.625453719936864
187,188,Prospect-Lefferts Gardens,-73.94520015758998,40.657560063078414
188,189,Prospect Heights,-73.9682696321247,40.67718248662547
189,190,Prospect Park,-73.97095007383226,40.66060756766964
190,191,Queens Village,-73.74112042075014,40.7142783033823
191,192,Queensboro Hill,-73.81519253564896,40.74441099850122
192,193,Queensbridge/Ravenswood,-73.94028630330551,40.76172443076375
193,194,Randalls Island,-73.92102903250012,40.79143295823041
194,195,Red Hook,-74.00954931328707,40.67546168386481
195,196,Rego Park,-73.86401021203557,40.72364785899064
196,197,Richmond Hill,-73.8290435569059,40.693000474220966
197,198,Ridgewood,-73.90199375122218,40.70452153360264
198,199,Rikers Island,-73.88353640132814,40.79204594322052
199,200,Riverdale/North Riverdale/Fieldston,-73.9064606078973,40.89985962111484
200,201,Rockaway Park,-73.84724647855154,40.5774687183395
